City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,sao joao da barra,-21.6403,-41.0511,25.05,84,2,1.21,BR,1679482254
115,vila franca do campo,37.7167,-25.4333,16.23,89,100,3.61,PT,1679482255
116,kaduqli,11.0167,29.7167,36.19,5,20,2.42,SD,1679482256
117,beringovskiy,63.05,179.3167,-19.15,88,100,4.91,RU,1679482257
118,matara,5.9485,80.5353,28.91,72,80,3.47,LK,1679482258
119,wexford,52.3342,-6.4575,10.68,84,61,7.6,IE,1679482258
120,lafia,8.4833,8.5167,30.2,53,100,1.26,NG,1679482259
121,darlowo,54.421,16.4107,10.73,78,100,6.73,PL,1679482260
122,aklavik,68.2191,-135.0107,-18.59,99,42,2.17,CA,1679482262
123,port hueneme,34.1478,-119.1951,10.12,94,75,2.06,US,1679482263
124,yanam,16.7333,82.2167,29.16,63,52,3.9,IN,1679482264
125,muros,42.7762,-9.0603,15.61,75,100,8.21,ES,1679482265
126,aras,42.5617,-2.356,15.98,58,0,4.12,ES,1679482265
127,honningsvag,70.9821,25.9704,-6.14,63,40,7.2,NO,1679482266
128,banjar,-8.19,114.9675,26.36,87,80,0.19,ID,1679482267
129,santa barbara,34.7333,-120.0343,6.11,95,100,4.63,US,1679481897
130,taltal,-25.4,-70.4833,20.27,87,34,0.4,CL,1679482269
131,padang,-0.9492,100.3543,28.03,84,85,0.53,ID,1679482270
132,east london,-33.0153,27.9116,24.52,60,0,2.06,ZA,1679482271
133,qaanaaq,77.484,-69.3632,-23.58,74,0,1.54,GL,1679482272
134,eureka,40.8021,-124.1637,7.33,96,100,0.5,US,1679482224
135,vila do maio,15.1333,-23.2167,23.44,70,88,6.31,CV,1679482275
136,nikolskoye,59.7035,30.7861,2.66,75,100,4.34,RU,1679482276
137,kulhudhuffushi,6.6221,73.07,27.73,67,77,4.08,MV,1679482276
138,ranong,9.9658,98.6348,32.96,71,16,3.06,TH,1679482278
139,dawlatabad,36.4141,64.9053,24.07,26,100,4.66,AF,1679482279
140,touros,-5.1989,-35.4608,26.63,76,100,4.46,BR,1679482079
141,kutum,14.2,24.6667,29.76,9,71,4.3,SD,1679482281
142,abulug,18.4453,121.4533,24.92,87,12,2.53,PH,1679482282
143,santa rosa,14.3122,121.1114,31.99,73,6,4.39,PH,1679482110
144,dulian,7.1214,122.1789,28.62,76,31,1.08,PH,1679482283
145,sur,22.5667,59.5289,25.4,70,27,6.18,OM,1679481798
146,sao geraldo do araguaia,-6.4006,-48.555,21.81,99,100,1.2,BR,1679482286
147,tukrah,32.5341,20.5791,20.79,63,16,9.1,LY,1679482286
148,nicoya,10.1483,-85.452,23.63,74,41,5.29,CR,1679482287
149,taphan hin,16.2209,100.4198,37.76,37,0,2.04,TH,1679482288
150,sitka,57.0531,-135.33,4.94,75,100,5.14,US,1679482289
151,bredasdorp,-34.5322,20.0403,24.06,53,100,5.79,ZA,1679482290
152,dalby,-27.1833,151.2667,20.67,83,47,6.39,AU,1679482291
153,sindor,62.8629,51.8905,-2.45,87,100,5.71,RU,1679482292
154,novoagansk,61.9449,76.6625,-1.45,93,100,7.38,RU,1679482293
155,comodoro rivadavia,-45.8667,-67.5,13.92,30,0,5.66,AR,1679482280
156,tuatapere,-46.1333,167.6833,9.71,80,73,1.85,NZ,1679482294
157,miyako,39.6367,141.9525,9.51,83,45,2.38,JP,1679482295
158,porto novo,6.4965,2.6036,27.9,49,89,2.12,BJ,1679482296
159,alibag,18.6411,72.8792,31.04,53,55,5.67,IN,1679482297
160,kovdor,67.5662,30.4758,-5.73,81,61,2.89,RU,1679482298
161,negombo,7.2083,79.8358,31.03,66,20,3.6,LK,1679482299
162,salalah,17.0151,54.0924,31.05,62,20,6.17,OM,1679481710
163,portland,45.5234,-122.6762,8.38,87,0,2.68,US,1679482060
164,northam,51.0333,-4.2167,13.12,74,35,8.8,GB,1679482301
165,kandrian,-6.2167,149.55,26.41,86,84,1.9,PG,1679482302
166,bilma,18.6853,12.9164,32.93,8,0,8.2,NE,1679482303
167,victoria,22.2855,114.1577,25.18,89,66,1.34,HK,1679482211
168,nouadhibou,20.931,-17.0347,18.99,88,20,4.12,MR,1679482305
